"","English.Word","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","Spanish.Word"
"1","aback",0,0,0,0,0,0,0,0,0,0,"detrás"
"2","abacus",0,0,0,0,0,0,0,0,0,1,"ábaco"
"3","abandon",0,0,0,1,0,1,0,1,0,0,"abandonar"
"4","abandoned",1,0,0,1,0,1,0,1,0,0,"abandonado"
"5","abandonment",1,0,0,1,0,1,0,1,1,0,"abandono"
"6","abate",0,0,0,0,0,0,0,0,0,0,"disminuir"
"7","abatement",0,0,0,0,0,0,0,0,0,0,"disminución"
"8","abba",0,0,0,0,0,0,1,0,0,0,"abba"
"9","abbot",0,0,0,0,0,0,0,0,0,1,"abad"
"10","abbreviate",0,0,0,0,0,0,0,0,0,0,"abreviar"
"11","abbreviation",0,0,0,0,0,0,0,0,0,0,"abreviatura"
"12","abdomen",0,0,0,0,0,0,0,0,0,0,"abdomen"
"13","abdominal",0,0,0,0,0,0,0,0,0,0,"abdominal"
"14","abduction",0,0,0,1,0,1,0,1,1,0,"secuestro"
"15","aberrant",0,0,0,0,0,1,0,0,0,0,"aberrante"
"16","aberration",0,0,1,0,0,1,0,0,0,0,"aberración"
"17","abeyance",0,0,0,0,0,0,0,0,0,0,"suspensión"
"18","abhor",1,0,1,1,0,1,0,0,0,0,"aborrecer"
"19","abhorrent",1,0,1,1,0,1,0,0,0,0,"aborrecible"
"20","abide",0,0,0,0,0,0,0,0,0,0,"cumplir"
"21","ability",0,0,0,0,0,0,1,0,0,0,"capacidad"
"22","abject",0,0,1,0,0,1,0,0,0,0,"abyecto"
"23","ablation",0,0,0,0,0,0,0,0,0,0,"ablación"
"24","ablaze",0,0,0,0,0,0,0,0,0,0,"ardiendo"
"25","abnormal",0,0,1,0,0,1,0,0,0,0,"anormal"
"26","aboard",0,0,0,0,0,0,0,0,0,0,"a bordo"
"27","abode",0,0,0,0,0,0,0,0,0,0,"morada"
"28","abolish",1,0,0,0,0,1,0,0,0,0,"abolir"
"29","abolition",0,0,0,0,0,1,0,0,0,0,"abolición"
"30","abominable",0,0,1,1,0,1,0,0,0,0,"abominable"
"31","abomination",1,0,1,1,0,1,0,0,0,0,"abominación"
"32","aboriginal",0,0,0,0,0,0,0,0,0,0,"aborigen"
"33","abort",0,0,0,0,0,1,0,0,0,0,"abortar"
"34","abortion",0,0,1,1,0,1,0,1,0,0,"aborto"
"35","abortive",0,0,0,0,0,1,0,1,0,0,"abortivo"
"36","abound",0,0,0,0,0,0,0,0,0,0,"abundar"
"37","abovementioned",0,0,0,0,0,0,1,0,0,0,"anteriormente mencionado"
"38","abrasion",0,0,0,0,0,1,0,0,0,0,"abrasión"
"39","abroad",0,0,0,0,0,0,0,0,0,0,"extranjero"
"40","abrogate",0,0,0,0,0,1,0,0,0,0,"abrogar"
"41","abrupt",0,0,0,0,0,0,0,0,1,0,"abrupto"
"42","abruptly",0,0,0,0,0,0,0,0,0,0,"abruptamente"
"43","abscess",0,0,0,0,0,1,0,1,0,0,"absceso"
"44","absence",0,0,0,1,0,1,0,1,0,0,"ausencia"
"45","absent",0,0,0,0,0,1,0,1,0,0,"ausente"
"46","absentee",0,0,0,0,0,1,0,1,0,0,"ausente"
"47","absenteeism",0,0,0,0,0,1,0,0,0,0,"absentismo"
"48","absinthe",0,0,0,0,0,0,0,0,0,0,"Ajenjo"
"49","absolute",0,0,0,0,0,0,1,0,0,0,"absoluto"
"50","absolution",0,0,0,0,1,0,1,0,0,1,"absolución"
"51","absorbed",0,0,0,0,0,0,1,0,0,0,"absorbido"
"52","absorbent",0,0,0,0,0,0,0,0,0,0,"absorbente"
"53","absorbing",0,0,0,0,0,0,0,0,0,0,"absorbente"
"54","absorption",0,0,0,0,0,0,0,0,0,0,"absorción"
"55","abstain",0,0,0,0,0,0,0,0,0,0,"abstenerse"
"56","abstention",0,0,0,0,0,0,0,0,0,0,"abstención"
"57","abstinence",0,0,0,0,0,0,0,0,0,0,"abstinencia"
"58","abstract",0,0,0,0,0,0,0,0,0,0,"resumen"
"59","abstraction",0,0,0,0,0,0,0,0,0,0,"abstracción"
"60","absurd",0,0,0,0,0,1,0,0,0,0,"absurdo"
"61","absurdity",0,0,0,0,0,1,0,0,0,0,"absurdo"
"62","abundance",0,1,1,0,1,1,1,0,0,1,"abundancia"
"63","abundant",0,0,0,0,1,0,1,0,0,0,"abundante"
"64","abuse",1,0,1,1,0,1,0,1,0,0,"abuso"
"65","abutment",0,0,0,0,0,0,0,0,0,0,"contrafuerte"
"66","aby",0,0,0,0,0,0,0,0,0,0,"aby"
"67","abysmal",0,0,0,0,0,1,0,1,0,0,"abismal"
"68","abyss",0,0,0,1,0,1,0,1,0,0,"abismo"
"69","academic",0,0,0,0,0,0,1,0,0,1,"académico"
"70","academy",0,0,0,0,0,0,1,0,0,0,"academia"
"71","accede",0,0,0,0,0,0,0,0,0,0,"acceder a"
"72","accelerate",0,1,0,0,0,0,0,0,0,0,"acelerar"
"73","acceleration",0,0,0,0,0,0,0,0,0,0,"aceleración"
"74","accent",0,0,0,0,0,0,0,0,0,0,"acento"
"75","accentuate",0,0,0,0,0,0,0,0,0,0,"acentuar"
"76","accept",0,0,0,0,0,0,0,0,0,0,"aceptar"
"77","acceptable",0,0,0,0,0,0,1,0,0,0,"aceptable"
"78","acceptance",0,0,0,0,0,0,1,0,0,0,"aceptación"
"79","access",0,0,0,0,0,0,0,0,0,0,"acceso"
"80","accessible",0,0,0,0,0,0,1,0,0,0,"accesible"
"81","accession",0,0,0,0,0,0,0,0,0,0,"adhesión"
"82","accessory",0,0,0,0,0,0,0,0,0,0,"accesorio"
"83","accident",0,0,0,1,0,1,0,1,1,0,"accidente"
"84","accidental",0,0,0,1,0,1,0,0,1,0,"accidental"
"85","accidentally",0,0,0,0,0,0,0,0,1,0,"accidentalmente"
"86","accolade",0,1,0,0,1,0,1,0,1,1,"espaldarazo"
"87","accommodate",0,0,0,0,0,0,0,0,0,0,"acomodar"
"88","accommodation",0,0,0,0,0,0,1,0,0,0,"alojamiento"
"89","accompaniment",0,1,0,0,1,0,1,0,0,1,"acompañamiento"
"90","accompany",0,0,0,0,0,0,0,0,0,0,"acompañar"
"91","accompanying",0,0,0,0,0,0,0,0,0,0,"acompañamiento"
"92","accomplice",0,0,0,0,0,0,0,0,0,0,"cómplice"
"93","accomplish",0,0,0,0,1,0,1,0,0,0,"realizar"
"94","accomplished",0,0,0,0,1,0,1,0,0,0,"logrado"
"95","accomplishment",0,0,0,0,0,0,1,0,0,0,"logro"
"96","accord",0,0,0,0,0,0,1,0,0,1,"acuerdo"
"97","accordance",0,0,0,0,0,0,0,0,0,0,"conformidad"
"98","accordion",0,0,0,0,0,0,0,0,0,0,"acordeón"
"99","account",0,0,0,0,0,0,0,0,0,1,"cuenta"
"100","accountability",0,0,0,0,0,0,1,0,0,1,"responsabilidad"
"101","accountable",0,0,0,0,0,0,1,0,0,1,"responsable"
"102","accountant",0,0,0,0,0,0,0,0,0,1,"contador"
"103","accounting",0,0,0,0,0,0,0,0,0,0,"contabilidad"
"104","accounts",0,0,0,0,0,0,0,0,0,1,"cuentas"
"105","accredited",0,0,0,0,0,0,1,0,0,1,"autorizado"
"106","accretion",0,0,0,0,0,0,0,0,0,0,"acreción"
"107","accrue",0,0,0,0,0,0,0,0,0,0,"acumularse"
"108","accueil",0,0,0,0,0,0,1,0,0,0,"accueil"
"109","accumulate",0,0,0,0,0,0,0,0,0,0,"acumular"
"110","accumulation",0,0,0,0,0,0,0,0,0,0,"acumulación"
"111","accuracy",0,0,0,0,0,0,0,0,0,0,"precisión"
"112","accurate",0,0,0,0,0,0,1,0,0,1,"preciso"
"113","accursed",1,0,0,1,0,1,0,1,0,0,"maldito"
"114","accusation",1,0,1,0,0,1,0,0,0,0,"acusación"
"115","accusative",0,0,0,0,0,1,0,0,0,0,"acusativo"
"116","accused",1,0,0,1,0,1,0,0,0,0,"acusado"
"117","accuser",1,0,0,1,0,1,0,0,0,0,"acusador"
"118","accusing",1,0,0,1,0,1,0,0,0,0,"acusando"
"119","accustomed",0,0,0,0,0,0,0,0,0,0,"acostumbrado"
"120","ace",0,0,0,0,0,0,1,0,0,0,"as"
"121","acetic",0,0,0,0,0,0,0,0,0,0,"acético"
"122","ache",0,0,0,0,0,1,0,1,0,0,"dolor"
"123","achieve",0,0,0,0,1,0,1,0,0,1,"lograr"
"124","achievement",0,1,0,0,1,0,1,0,0,1,"logro"
"125","aching",0,0,0,0,0,1,0,1,0,0,"dolor"
"126","acid",0,0,0,0,0,1,0,0,0,0,"ácido"
"127","acidity",0,0,0,0,0,0,0,0,0,0,"acidez"
"128","acknowledge",0,0,0,0,0,0,0,0,0,0,"reconocer"
"129","acknowledged",0,0,0,0,0,0,0,0,0,0,"admitido"
"130","acknowledgment",0,0,0,0,0,0,1,0,0,0,"Reconocimiento"
"131","acme",0,0,0,0,0,0,0,0,0,0,"cumbre"
"132","acoustic",0,0,0,0,0,0,0,0,0,0,"acústico"
"133","acoustics",0,0,0,0,0,0,0,0,0,0,"acústica"
"134","acquaint",0,0,0,0,0,0,0,0,0,0,"familiarizar"
"135","acquaintance",0,0,0,0,0,0,0,0,0,0,"conocido"
"136","acquainted",0,0,0,0,0,0,0,0,0,0,"familiarizado"
"137","acquiescence",0,0,0,0,0,0,0,0,0,0,"aquiescencia"
"138","acquire",0,0,0,0,0,0,1,0,0,0,"adquirir"
"139","acquiring",0,1,0,0,0,0,1,0,0,0,"adquisidor"
"140","acquisition",0,0,0,0,0,0,0,0,0,0,"adquisición"
"141","acquisitions",0,0,0,0,0,0,0,0,0,0,"adquisiciones"
"142","acreage",0,0,0,0,0,0,0,0,0,0,"superficie en acres"
"143","acres",0,0,0,0,0,0,0,0,0,0,"hectáreas"
"144","acrobat",0,0,0,1,1,0,1,0,0,1,"acróbata"
"145","act",0,0,0,0,0,0,0,0,0,0,"Actuar"
"146","acting",0,0,0,0,0,0,0,0,0,0,"interino"
