Word,Pleasantness,Activation,Imagery,Pleasantness_SD,Activation_SD,Imagery_SD
población,1.8,2,2.6,0.4472,0.7071,0.5477
obra,2.2,2.4,2.4,0.4472,0.5477,0.8944
dormir,3,1.4,3,0,0.8944,0
dar,2.8,3,3,0.4472,0,0
realizar,2.6,3,2.8,0.5477,0,0.4472
haber,2,1.8,1.8,0,0.8367,0.4472
amor,3,2.6,2.4,0,0.5477,0.8944
aparecer,2,2.6,2.6,0,0.8944,0.5477
seguir,2.4,2.6,2.8,0.5477,0.8944,0.4472
especie,2.2,1.8,2.6,0.4472,0.4472,0.8944
dejar,1.6,3,3,0.5477,0,0
nombre,2.1667,1.5,2.1667,0.4082,0.5477,0.7528
solo,1.4,1.8,3,0.5477,0.4472,0
corazón,2.8,2.4,3,0.4472,0.5477,0
lograr,3,3,2.6,0,0,0.5477
entender,3,2.8,2.6,0,0.4472,0.5477
acercar,2.2,3,2.6,0.4472,0,0.5477
grande,2,1.8,2.6,0,0.4472,0.8944
ojo,2.2,1.8,3,0.4472,0.4472,0
bueno,3,2.2,2.6,0,0.8367,0.5477
trabajar,2.6,3,3,0.5477,0,0
permitir,2.8,3,2.4,0.4472,0,0.8944
junto,2.6,2.2,2.6,0.5477,0.4472,0.5477
hablar,2.2,3,3,0.4472,0,0
hacer,2.4,3,2.8,0.5477,0,0.4472
tiempo,2,2,2.2,0.7071,0.7071,0.8367
nuevo,2.8,1.6,2.6,0.4472,0.5477,0.5477
mirada,2.4,2.6,2.8,0.5477,0.5477,0.4472
entrar,2.2,3,3,0.4472,0,0
cuerpo,2,2.2,3,0,0.4472,0
tipo,1.8,2,1.2,0.4472,0,0.4472
cosa,2,2,1.6,0,0,0.8944
volver,1.6,2.2,2.4,0.5477,1.0954,0.5477
propio,2.4,2,2.6,0.5477,0.7071,0.5477
más,2.8,2.2,2.2,0.4472,0.4472,0.8367
llamar,2.2,3,3,0.4472,0,0
canción,3,2,3,0,1,0
alcanzar,3,3,2.8,0,0,0.4472
pensar,2.8,2.6,3,0.4472,0.8944,0
agua,2.6,2,3,0.5477,0.7071,0
aire,2.6,2,2.2,0.5477,0.7071,1.0954
jugar,3,3,3,0,0,0
voz,2.4,2.8,2.8,0.5477,0.4472,0.4472
poder,2.8,2.8,2.2,0.4472,0.4472,1.0954
sentar,2.4,2.6,2.8,0.5477,0.8944,0.4472
mar,2.8,2.6,3,0.4472,0.8944,0
mirar,2.4,2.8,3,0.5477,0.4472,0
